出售單位,發電設備,購買者,能源類型,移轉量(MWh),憑證發放年份,移轉日期
僑雄實業股份有限公司,僑雄實業新北案場,高柏科技股份有限公司,太陽能,10,2025,2026-05-27
新泰工業股份有限公司,新泰-南青咯1188號電廠,安謀國際科技股份有限公司,太陽能,65,2025,2026-05-27
聚陽實業股份有限公司,聚陽民雄廠太陽光電發電廠,羅氏大藥廠股份有限公司,太陽能,31,2025,2026-05-27
如陽科技股份有限公司,如陽科技三場自發自用,荷蘭商愛特思股份有限公司台灣分公司,太陽能,102,2025,2026-05-27
財團法人工業技術研究院-光復院區,財團法人工業技術研究院-光復院區,財團法人工業技術研究院,太陽能,0.165,2025,2026-05-27
翊訊科技有限公司,翊訊科技有限公司,奧美廣告股份有限公司,太陽能,29,2025,2026-05-26
日勝化工股份有限公司,南投縣南投市成功三路333-1.333-2號,羅技電子股份有限公司,太陽能,34,2025,2026-05-26
裕益汽車股份有限公司,順益新竹,奧美廣告股份有限公司,太陽能,68,2025,2026-05-26
日勝化工股份有限公司,六號倉,美商高盛亞洲證券有限公司台北分公司,太陽能,1,2025,2026-05-26
泳富豪有限公司,泳富豪有限公司,美商高盛亞洲證券有限公司台北分公司,太陽能,111,2025,2026-05-25
維鎮工業股份有限公司,維鎮,荷蘭商愛特思股份有限公司普安貝兒台灣分公司,太陽能,442,2025,2026-05-22
大中鋼鐵股份有限公司,大中鋼鐵楊梅廠,奧美廣告股份有限公司,太陽能,316,2025,2026-05-20
中興電工機械股份有限公司,中興電工機械股份有限公司,荷蘭商愛特思股份有限公司台灣分公司,太陽能,"1,188",2025,2026-05-20
台灣化學纖維股份有限公司,台化新港公用廠苛化廠房及MGO倉庫,奧美廣告股份有限公司,太陽能,15,2025,2026-05-20
台灣化學纖維股份有限公司,台化新港公用廠保養工廠及苛化廠房,奧美廣告股份有限公司,太陽能,11,2025,2026-05-20
台灣化學纖維股份有限公司,台化新港PABS廠務大樓及原料倉庫,奧美廣告股份有限公司,太陽能,35,2025,2026-05-20
台灣化學纖維股份有限公司,台灣化學纖維股份有限公司三期,奧美廣告股份有限公司,太陽能,45,2025,2026-05-20
長耕國際股份有限公司,長耕國際股份有限公司,奧美廣告股份有限公司,太陽能,115,2025,2026-05-20
台灣化學纖維股份有限公司,台化新港原絲廠NF6廠房,奧美廣告股份有限公司,太陽能,32,2025,2026-05-20
裕益汽車股份有限公司,順益一期,奧美廣告股份有限公司,太陽能,303,2025,2026-05-18
越峯電子材料股份有限公司,越峯電子材料股份有限公司,奧美廣告股份有限公司,太陽能,95,2025,2026-05-18
光洋應用材料科技股份有限公司,光洋科機車棚,荷蘭商愛特思股份有限公司台灣分公司,太陽能,49,2025,2026-05-18
光洋應用材料科技股份有限公司,光洋科F棟&汽車停車場,荷蘭商愛特思股份有限公司台灣分公司,太陽能,119,2025,2026-05-18
大舜鈑金股份有限公司,大舜鈑金一期 太陽能模組,荷蘭商愛特思股份有限公司台灣分公司,太陽能,150,2025,2026-05-18
大舜鈑金股份有限公司,大舜鈑金三期太陽能模組,荷蘭商愛特思股份有限公司台灣分公司,太陽能,95,2025,2026-05-18
大舜鈑金股份有限公司,大舜鈑金二期太陽能模組,荷蘭商愛特思股份有限公司台灣分公司,太陽能,159,2025,2026-05-18
財團法人桃園市幸福社會福利基金會,幸福基金會太陽光電系統,台灣大哥大股份有限公司,太陽能,54,2025,2026-05-18
農友種苗股份有限公司,農友種苗,台灣優衣庫有限公司,太陽能,30,2025,2026-05-18
中華紙漿股份有限公司,中華紙漿股份有限公司花蓮廠,帝斯曼營養品股份有限公司,生質能,50,2025,2026-05-18
裕益汽車股份有限公司,順益一期,羅技電子股份有限公司,太陽能,85,2025,2026-05-18
裕益汽車股份有限公司,順益路竹,美商波士頓顧問有限公司台灣分公司,太陽能,89,2025,2026-05-18
裕益汽車股份有限公司,順益新竹,美商利惠國際有限公司台灣分公司,太陽能,26,2025,2026-05-18
大豐環保科技股份有限公司,台南拆車夢工廠,美商利惠國際有限公司台灣分公司,太陽能,83,2025,2026-05-18
光洋應用材料科技股份有限公司,光洋科F棟&汽車停車場,荷蘭商愛特思股份有限公司普安貝兒台灣分公司,太陽能,26,2025,2026-05-18
永喆環保科技有限公司,永喆樹林一廠,美商默沙東藥廠股份有限公司台灣分公司,太陽能,53,2025,2026-05-18
裕益汽車股份有限公司,順益一期,安謀國際科技股份有限公司,太陽能,70,2025,2026-05-18
裕益汽車股份有限公司,順益路竹,安謀國際科技股份有限公司,太陽能,16,2025,2026-05-18
英屬開曼群島商功成資本有限公司台灣分公司,英屬開曼群島商功成資本有限公司台灣分公司,台灣愛普生科技股份有限公司,太陽能,110,2025,2026-05-12
英屬開曼群島商功成資本有限公司台灣分公司,英屬開曼群島商功成資本有限公司台灣分公司,新加坡商輝達開發有限公司台灣分公司,太陽能,784,2025,2026-05-09
財團法人工業技術研究院,財團法人工業技術研究院-中興院區,新加坡商輝達開發有限公司台灣分公司,太陽能,849,2025,2026-05-09
金氏科訊股份有限公司,大樹一廠辦公室,新加坡商輝達開發有限公司台灣分公司,太陽能,26,2025,2026-05-09
精湛光學科技股份有限公司,精湛光學科技股份有限公司,新加坡商輝達開發有限公司台灣分公司,太陽能,177,2025,2026-05-09
財團法人工業技術研究院-光復院區,財團法人工業技術研究院-光復院區,新加坡商輝達開發有限公司台灣分公司,太陽能,144,2025,2026-05-09
財團法人工業技術研究院-六甲院區,財團法人工業技術研究院-六甲院區83.49kW,新加坡商輝達開發有限公司台灣分公司,太陽能,53,2025,2026-05-09
豐泰興業股份有限公司,豐泰興業實業,新加坡商輝達開發有限公司台灣分公司,太陽能,103,2025,2026-05-09
易宏熱鍍鋅工業股份有限公司,易宏熱鍍鋅工業股份有限公司,荷蘭商愛特思股份有限公司台灣分公司,太陽能,558.921,2025,2026-05-07
強新工業股份有限公司,強新I倉,美商波士頓顧問有限公司台灣分公司,太陽能,5,2025,2026-05-05
道達爾能源股份有限公司,道達爾能源股份有限公司,美商妥斯特國際股份有限公司台灣分公司,太陽能,10,2025,2026-05-05
客家委員會客家文化發展中心六堆園區,客家委員會客家文化發展中心六堆園區,威翰環保工業股份有限公司,太陽能,81,2025,2026-05-05
東豐纖維企業股份有限公司,東豐纖維路竹廠三期439.52KWp,台灣艾司摩爾股份有限公司,太陽能,69,2025,2026-05-05
盛建企業股份有限公司,盛建企業太陽能系統,美商波士頓顧問有限公司台灣分公司,太陽能,15,2025,2026-05-05
新加坡商傑樂生技股份有限公司台灣分公司,新加坡商傑樂生技股份有限公司 台灣分公司,美商彭博新聞有限公司台北分公司,太陽能,297,2025,2026-05-05
東豐纖維企業股份有限公司,東豐纖維路竹廠四期288.36KWp織布廠,台灣艾司摩爾股份有限公司,太陽能,52,2025,2026-05-05
松讚實業股份有限公司,松讚(全興廠),歐美亞商務旅行社股份有限公司,太陽能,4,2025,2026-05-05
中華紙漿股份有限公司,中華紙漿股份有限公司花蓮廠,瑞傳科技股份有限公司,生質能,300,2025,2026-05-05
中華紙漿股份有限公司,中華紙漿股份有限公司花蓮廠,振樺電子股份有限公司,生質能,100,2025,2026-05-05
中華紙漿股份有限公司,中華紙漿股份有限公司花蓮廠,台英帝國菸草製造股份有限公司,生質能,95,2025,2026-05-05
台灣化學纖維股份有限公司,台化新港原絲廠NF6廠房,台灣威富品牌有限公司,太陽能,116,2025,2026-04-28
台灣化學纖維股份有限公司,台化新港公用廠苛化廠房及MGO倉庫,台灣威富品牌有限公司,太陽能,83,2025,2026-04-28
台灣化學纖維股份有限公司,台化新港公用廠保養工廠及苛化廠房,台灣威富品牌有限公司,太陽能,45,2025,2026-04-28
台灣化學纖維股份有限公司,台化新港PABS廠務大樓及原料倉庫,台灣威富品牌有限公司,太陽能,24,2025,2026-04-28
大中鋼鐵股份有限公司,大中鋼鐵楊梅廠,台灣威富品牌有限公司,太陽能,80,2025,2026-04-28
台灣新日化股份有限公司,台灣新日化太陽能發電設備,台灣威富品牌有限公司,太陽能,33,2025,2026-04-27
臺北市立金華國民中學,臺北市立金華國民中學,美商道富銀行股份有限公司,太陽能,4,2025,2026-04-24
盛建企業股份有限公司,盛建企業太陽能系統,台灣威富品牌有限公司,太陽能,92,2025,2026-04-24
永喆環保科技有限公司,永喆樹林一廠,美商妥斯特國際股份有限公司台灣分公司,太陽能,8,2025,2026-04-24
維鎮工業股份有限公司,維鎮,香港商雷夫羅倫有限公司台灣分公司,太陽能,191,2025,2026-04-24
強新工業股份有限公司,強新六廠,台灣威富品牌有限公司,太陽能,127,2025,2026-04-24
農友種苗股份有限公司,農友種苗,台灣優衣庫有限公司,太陽能,30,2025,2026-04-24
台灣新日化股份有限公司,台灣新日化太陽能發電設備,奧美廣告股份有限公司,太陽能,13,2025,2026-04-21
臺北市政府產業發展局,臺北市政府產業發展局新生公園夢想館,愛普生捷修網股份有限公司,太陽能,84,2025,2026-04-18
